movieID,faqTitle,faqContent,faqUrl
Q2hhbGxlbmdlcnM=,,,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,How long is Rebel Moon - Part Two: The Scargiver?,2 hours and 2 minutes,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,When was Rebel Moon - Part Two: The Scargiver released?,"April 19, 2024",
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who stars in Rebel Moon - Part Two: The Scargiver?,"Sofia Boutella, Jena Malone, and Charlie Hunnam",/name/nm1154749/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who wrote Rebel Moon - Part Two: The Scargiver?,"Zack Snyder, Shay Hatten, and Kurt Johnstad",/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who directed Rebel Moon - Part Two: The Scargiver?,Zack Snyder,/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who was the composer for Rebel Moon - Part Two: The Scargiver?,Tom Holkenborg,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who was the producer of Rebel Moon - Part Two: The Scargiver?,"Zack Snyder, Deborah Snyder, and Eric Newman",/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who was the executive producer of Rebel Moon - Part Two: The Scargiver?,"Shay Hatten, Kurt Johnstad, Bergen Swanson, and Sarah Bowen",/name/nm8748334/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who was the cinematographer for Rebel Moon - Part Two: The Scargiver?,Zack Snyder,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,Who was the editor of Rebel Moon - Part Two: The Scargiver?,Dody Dorn,/name/nm0233827/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,What is the plot of Rebel Moon - Part Two: The Scargiver?,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion.",
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,What was the budget for Rebel Moon - Part Two: The Scargiver?,$83 million,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,What is Rebel Moon - Part Two: The Scargiver rated?,PG-13,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,What genre is Rebel Moon - Part Two: The Scargiver?,"Action, Adventure, Drama, Fantasy, and Sci-Fi",
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,,,
UmViZWwgTW9vbiAtIFBhcnQgVHdvOiBUaGUgU2NhcmdpdmVy,,,
QWJpZ2FpbA==,How long is Abigail?,1 hour and 30 minutes,
QWJpZ2FpbA==,When was Abigail released?,"April 19, 2024",
QWJpZ2FpbA==,Who stars in Abigail?,"Kathryn Newton, Giancarlo Esposito, and Dan Stevens",/name/nm1105980/?ref_=ttfaq
QWJpZ2FpbA==,Who wrote Abigail?,Guy Busick and Stephen Shields,/name/nm2361509/?ref_=ttfaq
QWJpZ2FpbA==,Who directed Abigail?,Matt Bettinelli-Olpin and Tyler Gillett,/name/nm2366012/?ref_=ttfaq
QWJpZ2FpbA==,Who was the composer for Abigail?,Brian Tyler,/name/nm0003911/?ref_=ttfaq
QWJpZ2FpbA==,Who was the producer of Abigail?,"James Vanderbilt, Chad Villella, Paul Neinstein, Tripp Vinson, and William Sherak",/name/nm0888743/?ref_=ttfaq
QWJpZ2FpbA==,Who was the executive producer of Abigail?,Macdara Kelleher and Ron Lynch,/name/nm1030457/?ref_=ttfaq
QWJpZ2FpbA==,Who was the cinematographer for Abigail?,Aaron Morton,/name/nm1195670/?ref_=ttfaq
QWJpZ2FpbA==,Who was the editor of Abigail?,Michael P. Shawver,/name/nm4019350/?ref_=ttfaq
QWJpZ2FpbA==,What is the plot of Abigail?,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",
QWJpZ2FpbA==,What was the budget for Abigail?,28 million,
QWJpZ2FpbA==,How much did Abigail earn at the US box office?,$13.5 million,
QWJpZ2FpbA==,What is Abigail rated?,R,
QWJpZ2FpbA==,What genre is Abigail?,Horror and Thriller,
QWJpZ2FpbA==,,,
QWJpZ2FpbA==,,,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,How long is The Ministry of Ungentlemanly Warfare?,2 hours,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,When was The Ministry of Ungentlemanly Warfare released?,"April 19, 2024",
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who stars in The Ministry of Ungentlemanly Warfare?,"Alan Ritchson, Henry Cavill, and Eiza González",/name/nm2024927/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who wrote The Ministry of Ungentlemanly Warfare?,"Guy Ritchie, Arash Amel, Damian Lewis, Eric Johnson, and Paul Tamasy",/name/nm0005363/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who directed The Ministry of Ungentlemanly Warfare?,Guy Ritchie,/name/nm0005363/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who was the composer for The Ministry of Ungentlemanly Warfare?,Christopher Benstead,/name/nm1666163/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who was the producer of The Ministry of Ungentlemanly Warfare?,"Jerry Bruckheimer, Chad Oman, Ivan Atkinson, and John Friedberg",/name/nm0000988/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who was the executive producer of The Ministry of Ungentlemanly Warfare?,"Teddy Schwarzman, Mohammed Al Turki, Christopher Woodrow, Damian Lewis, Dave Caplan, Eric Johnson, Jason Cloth, K. Blaine Johnston, Michael Heimler, Olga Filipuk, and others",/name/nm3267061/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who was the cinematographer for The Ministry of Ungentlemanly Warfare?,Ed Wild,/name/nm1456252/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,Who was the editor of The Ministry of Ungentlemanly Warfare?,James Herbert,/name/nm1232695/?ref_=ttfaq
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,What is the plot of The Ministry of Ungentlemanly Warfare?,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,How much did The Ministry of Ungentlemanly Warfare earn at the US box office?,$11.6 million,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,What is The Ministry of Ungentlemanly Warfare rated?,R,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,What genre is The Ministry of Ungentlemanly Warfare?,Drama and War,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,,,
VGhlIE1pbmlzdHJ5IG9mIFVuZ2VudGxlbWFubHkgV2FyZmFyZQ==,,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Sound mix,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Color,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Aspect ratio,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Camera,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Laboratory,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Negative Format,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Cinematographic Process,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,Printed Film Format,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,,,
RGVhZHBvb2wgJiBXb2x2ZXJpbmU=,,,
RHVuZTogUGFydCBUd28=,How long is Dune: Part Two?,2 hours and 46 minutes,
RHVuZTogUGFydCBUd28=,When was Dune: Part Two released?,"March 1, 2024",
RHVuZTogUGFydCBUd28=,What is the IMDb rating of Dune: Part Two?,8.9 out of 10,
RHVuZTogUGFydCBUd28=,Who stars in Dune: Part Two?,"Timothée Chalamet, Zendaya, and Rebecca Ferguson",/name/nm3154303/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who wrote Dune: Part Two?,"Denis Villeneuve, Frank Herbert, and Jon Spaihts",/name/nm0898288/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who directed Dune: Part Two?,Denis Villeneuve,/name/nm0898288/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who was the composer for Dune: Part Two?,Hans Zimmer,/name/nm0001877/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who was the producer of Dune: Part Two?,"Denis Villeneuve, Tanya Lapointe, Mary Parent, Cale Boyter, and Patrick McCormick",/name/nm0898288/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who was the executive producer of Dune: Part Two?,"Brian Herbert, Thomas Tull, Jon Spaihts, John Harrison, Richard P. Rubinstein, Byron Merritt, Herb Gains, Joshua Grode, and Kim Herbert",/name/nm9526711/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who was the cinematographer for Dune: Part Two?,Greig Fraser,/name/nm0292132/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,Who was the editor of Dune: Part Two?,Joe Walker,/name/nm0907863/?ref_=ttfaq
RHVuZTogUGFydCBUd28=,What is the plot of Dune: Part Two?,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,
RHVuZTogUGFydCBUd28=,What was the budget for Dune: Part Two?,$190 million,
RHVuZTogUGFydCBUd28=,How much did Dune: Part Two earn at the worldwide box office?,$389 million,
RHVuZTogUGFydCBUd28=,How much did Dune: Part Two earn at the US box office?,$278 million,
RHVuZTogUGFydCBUd28=,What is Dune: Part Two rated?,PG-13,
RHVuZTogUGFydCBUd28=,What genre is Dune: Part Two?,"Action, Adventure, Drama, and Sci-Fi",
RHVuZTogUGFydCBUd28=,How many awards has Dune: Part Two been nominated for?,2 nominations,
RHVuZTogUGFydCBUd28=,,,
RHVuZTogUGFydCBUd28=,,,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,How long is Late Night with the Devil?,1 hour and 33 minutes,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,When was Late Night with the Devil released?,"March 22, 2024",
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,What is the IMDb rating of Late Night with the Devil?,7.5 out of 10,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who stars in Late Night with the Devil?,"David Dastmalchian, Laura Gordon, and Ian Bliss",/name/nm2810287/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who wrote Late Night with the Devil?,Cameron Cairnes and Colin Cairnes,/name/nm1637876/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who directed Late Night with the Devil?,Cameron Cairnes and Colin Cairnes,/name/nm1637876/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who was the composer for Late Night with the Devil?,Glenn Richards and Roscoe James Irwin,/name/nm3249248/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who was the producer of Late Night with the Devil?,"David Dastmalchian, Roy Lee, Adam White, Derek Dauchy, John Molloy, Mat Govoni, and Steven Schneider",/name/nm2810287/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who was the executive producer of Late Night with the Devil?,"Julie Ryan, Ben Ross, Darius Family, Joel Anderson, and Rami Yasin",/name/nm0752646/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Who was the cinematographer for Late Night with the Devil?,Matthew Temple,/name/nm1027569/?ref_=ttfaq
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,What is the plot of Late Night with the Devil?,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,How much did Late Night with the Devil earn at the worldwide box office?,"$1,770",
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,How much did Late Night with the Devil earn at the US box office?,$9.74 million,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,What is Late Night with the Devil rated?,R,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,What genre is Late Night with the Devil?,Horror,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,How many awards has Late Night with the Devil won?,1 award,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,How many awards has Late Night with the Devil been nominated for?,2 nominations,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,,,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,,,
TW9ua2V5IE1hbg==,How long is Monkey Man?,1 hour and 53 minutes,
TW9ua2V5IE1hbg==,When was Monkey Man released?,"April 5, 2024",
TW9ua2V5IE1hbg==,What is the IMDb rating of Monkey Man?,8.1 out of 10,
TW9ua2V5IE1hbg==,Who stars in Monkey Man?,"Dev Patel, Sharlto Copley, and Pitobash",/name/nm2353862/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who wrote Monkey Man?,"Dev Patel, John Collee, and Paul Angunawela",/name/nm2353862/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who directed Monkey Man?,Dev Patel,/name/nm2353862/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who was the composer for Monkey Man?,Volker Bertelmann,/name/nm2890617/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who was the producer of Monkey Man?,"Dev Patel, Jordan Peele, Basil Iwanyk, Ian Cooper, Win Rosenfeld, Bavand Karim, Anjay Nagpal, Christine Haebler, Erica Lee, Jomon Thomas, and others",/name/nm2353862/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who was the executive producer of Monkey Man?,"Aaron L. Gilbert, Alison-Jane Roney, Andria Spring, Jason Cloth, Jonathan Fuhrman, Natalya Pavchinskaya, and Steven Thibault",/name/nm0317943/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who was the cinematographer for Monkey Man?,Sharone Meir,/name/nm0576960/?ref_=ttfaq
TW9ua2V5IE1hbg==,Who was the editor of Monkey Man?,"Dávid Jancsó, Joe Galdo, and Tim Murrell",/name/nm0417347/?ref_=ttfaq
TW9ua2V5IE1hbg==,What is the plot of Monkey Man?,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.,
TW9ua2V5IE1hbg==,What was the budget for Monkey Man?,10 million,
TW9ua2V5IE1hbg==,How much did Monkey Man earn at the US box office?,$22.8 million,
TW9ua2V5IE1hbg==,What is Monkey Man rated?,R,
TW9ua2V5IE1hbg==,What genre is Monkey Man?,Action and Thriller,
TW9ua2V5IE1hbg==,,,
TW9ua2V5IE1hbg==,,,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,How long is Rebel Moon - Part One: A Child of Fire?,2 hours and 13 minutes,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,When was Rebel Moon - Part One: A Child of Fire released?,"December 21, 2023",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,What is the IMDb rating of Rebel Moon - Part One: A Child of Fire?,5.6 out of 10,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who stars in Rebel Moon - Part One: A Child of Fire?,"Sofia Boutella, Djimon Hounsou, and Ed Skrein",/name/nm1154749/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who wrote Rebel Moon - Part One: A Child of Fire?,"Zack Snyder, Shay Hatten, and Kurt Johnstad",/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who directed Rebel Moon - Part One: A Child of Fire?,Zack Snyder,/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who was the composer for Rebel Moon - Part One: A Child of Fire?,Tom Holkenborg,/name/nm0432725/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who was the producer of Rebel Moon - Part One: A Child of Fire?,"Zack Snyder, Deborah Snyder, Eric Newman, and Wesley Coller",/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who was the executive producer of Rebel Moon - Part One: A Child of Fire?,"Shay Hatten, Kurt Johnstad, Bergen Swanson, and Sarah Bowen",/name/nm8748334/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who was the cinematographer for Rebel Moon - Part One: A Child of Fire?,Zack Snyder,/name/nm0811583/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Who was the editor of Rebel Moon - Part One: A Child of Fire?,Dody Dorn,/name/nm0233827/?ref_=ttfaq
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,What is the plot of Rebel Moon - Part One: A Child of Fire?,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,What was the budget for Rebel Moon - Part One: A Child of Fire?,$90 million,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,What is Rebel Moon - Part One: A Child of Fire rated?,PG-13,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,What genre is Rebel Moon - Part One: A Child of Fire?,"Action, Adventure, Drama, Fantasy, and Sci-Fi",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,How many awards has Rebel Moon - Part One: A Child of Fire won?,2 awards,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,How many awards has Rebel Moon - Part One: A Child of Fire been nominated for?,5 nominations,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,,,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,,,
QW55b25lIEJ1dCBZb3U=,How long is Anyone But You?,1 hour and 43 minutes,
QW55b25lIEJ1dCBZb3U=,When was Anyone But You released?,"December 22, 2023",
QW55b25lIEJ1dCBZb3U=,What is the IMDb rating of Anyone But You?,6.2 out of 10,
QW55b25lIEJ1dCBZb3U=,Who stars in Anyone But You?,"Sydney Sweeney, Glen Powell, and Alexandra Shipp",/name/nm2858875/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who wrote Anyone But You?,Will Gluck and Ilana Wolpert,/name/nm0323239/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who directed Anyone But You?,Will Gluck,/name/nm0323239/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who was the composer for Anyone But You?,Este Haim,/name/nm6076231/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who was the producer of Anyone But You?,"Will Gluck, Joe Roth, and Jeff Kirschenbaum",/name/nm0323239/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who was the executive producer of Anyone But You?,"Sydney Sweeney, Sidney Kimmel, Charlie Corwin, Alyssa Altman, Catherine Bishop, Jacqueline Monetta, and Mark O'Connor",/name/nm2858875/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who was the cinematographer for Anyone But You?,Danny Ruhlmann,/name/nm0749525/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,Who was the editor of Anyone But You?,Kimberly Boritz and Tia Nolan,/name/nm4075348/?ref_=ttfaq
QW55b25lIEJ1dCBZb3U=,What is the plot of Anyone But You?,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",
QW55b25lIEJ1dCBZb3U=,What was the budget for Anyone But You?,$25 million,
QW55b25lIEJ1dCBZb3U=,How much did Anyone But You earn at the worldwide box office?,$212 million,
QW55b25lIEJ1dCBZb3U=,How much did Anyone But You earn at the US box office?,$88.3 million,
QW55b25lIEJ1dCBZb3U=,What is Anyone But You rated?,R,
QW55b25lIEJ1dCBZb3U=,What genre is Anyone But You?,"Comedy, Romance, and Romantic Comedy",
QW55b25lIEJ1dCBZb3U=,How many awards has Anyone But You won?,1 award,
QW55b25lIEJ1dCBZb3U=,How many awards has Anyone But You been nominated for?,5 nominations,
QW55b25lIEJ1dCBZb3U=,,,
QW55b25lIEJ1dCBZb3U=,,,
VGhlIEZhbGwgR3V5,How long will The Fall Guy be?,1 hour and 54 minutes,
VGhlIEZhbGwgR3V5,When will The Fall Guy be released?,"May 3, 2024",
VGhlIEZhbGwgR3V5,Who will star in The Fall Guy?,"Emily Blunt, Ryan Gosling, and Hannah Waddingham",/name/nm1289434/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the writer for The Fall Guy?,Drew Pearce,/name/nm1510800/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the director of The Fall Guy?,David Leitch,/name/nm0500610/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the composer for The Fall Guy?,Dominic Lewis,/name/nm3825122/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the producer of The Fall Guy?,"Ryan Gosling, David Leitch, Guymon Casady, and Kelly McCormick",/name/nm0331516/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the executive producer of The Fall Guy?,"Glen A. Larson, Drew Pearce, Cecil O'Connor, Geoff Shaevitz, Matt Reilly, and Peter Cramer",/name/nm0488991/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the cinematographer for The Fall Guy?,Jonathan Sela,/name/nm0782930/?ref_=ttfaq
VGhlIEZhbGwgR3V5,Who is the editor of The Fall Guy?,Elísabet Ronaldsdóttir,/name/nm0739894/?ref_=ttfaq
VGhlIEZhbGwgR3V5,What is the plot of The Fall Guy?,"Colt Seavers is a stuntman who left the business a year earlier to focus on both his physical and mental health. He's drafted back into service when the star of a mega-budget studio movie, which is being directed by his ex, goes missing.",
VGhlIEZhbGwgR3V5,What is the budget for The Fall Guy?,125 million,
VGhlIEZhbGwgR3V5,What is The Fall Guy rated?,PG-13,
VGhlIEZhbGwgR3V5,What genre is The Fall Guy?,"Action, Comedy, Comedy Drama, and Drama",
VGhlIEZhbGwgR3V5,,,
VGhlIEZhbGwgR3V5,,,
